country,currency,population,date,continent,happinessScore
Saudi Arabia,SAR,36610084,17-12-2021,Asia,6.375
Senegal,XOF,17478914,17-12-2021,Africa,4.681
Serbia,RSD,7191632,17-12-2021,Europe,5.603
Sierra Leone,SLL,8673849,17-12-2021,Africa,4.374
Singapore,SGD,5990317,17-12-2021,Asia,6.262
Slovakia,EUR,5794266,17-12-2021,Europe,6.198
Slovenia,EUR,2119881,17-12-2021,Europe,6.118
Somalia,SOS,17795267,17-12-2021,Africa,4.668
South Africa,ZAR,60076538,17-12-2021,Africa,4.722
South Korea,KRW,51806042,17-12-2021,Asia,5.895
South Sudan,SDG,10974986,17-12-2021,Africa,2.853
Spain,EUR,47545636,17-12-2021,Europe,6.354
Sri Lanka,LKR,21855992,17-12-2021,Asia,4.366
Sweden,SEK,10572762,17-12-2021,Europe,7.343
Switzerland,CHF,8761507,17-12-2021,Europe,7.48
Syria,SYP,22521221,17-12-2021,Asia,3.462
Taiwan,TWD,23904935,17-12-2021,Asia,6.446
Tanzania,TZS,66206030,17-12-2021,Africa,3.231
Thailand,THB,71739001,17-12-2021,Asia,6.008
Togo,XOF,8924073,17-12-2021,Africa,4.085
Tunisia,TND,12391171,17-12-2021,Africa,4.461
Turkey,TRY,85525757,17-12-2021,Asia,5.373
Uganda,UGX,47741451,17-12-2021,Africa,4.189
Ukraine,UAH,37016553,17-12-2021,Europe,4.332
United Arab Emirates,AED,9469121,17-12-2021,Asia,6.825
United Kingdom,GBP,67593675,17-12-2021,Europe,7.054
United States,USD,338874118,17-12-2021,North America,6.892
Uruguay,UYU,3422923,17-12-2021,South America,6.293
Vietnam,VND,98441574,17-12-2021,Asia,5.175
Yemen,YER,33973297,17-12-2021,Asia,3.38
Zambia,ZMW,20218694,17-12-2021,Africa,4.107
Zimbabwe,USD,16444429,17-12-2021,Africa,3.663
